id,name,full_prompt,role_description,goal_description,background_information,output_format,tools_list,tags
"a1","WeatherBot","Provide weather forecasts.",,,,,"weather;forecast"
"a2","NewsBot","Summarize latest news headlines.",,,,,"news;summary"
"a3","TravelBot","Give travel recommendations.",,,,,"travel;recommendation"
"a4","RecipeBot","Suggest recipes based on ingredients.",,,,,"food;recipe"
"a5","FitnessCoach","Create workout plans.",,,,,"fitness;health"
"a6","FinanceAdvisor","Provide personal finance tips.",,,,,"finance;money"
"a7","LanguageTutor","Help practice a new language.",,,,,"education;language"
"a8","TodoManager","Organize and prioritize tasks.",,,,,"productivity;tasks"
"a9","CodeAssistant","Help write and debug code.",,,,,"programming;developer"
"a10","MovieRecommender","Recommend movies by mood.",,,,,"entertainment;movies"
"a11","MentalHealthBot","Offer mental wellness tips.",,,,,"health;wellness"
"a12","ShopAssistant","Find products and compare prices.",,,,,"shopping;ecommerce"
"a13","CalendarBot","Manage scheduling and reminders.",,,,,"productivity;calendar"
"a14","GardeningGuru","Give plant care and gardening tips.",,,,,"gardening;plants"
"a15","HomeCook","Guide through home-cooking techniques.",,,,,"food;cooking"
"a16","ParentingAdvisor","Offer parenting advice and resources.",,,,,"family;parenting"
"a17","CareerCoach","Advise on resumes and interviews.",,,,,"career;jobs"
"a18","StudyBuddy","Help with study plans and summaries.",,,,,"education;study"
"a19","EventPlanner","Plan events and manage logistics.",,,,,"events;planning"
"a20","HomeRepairBot","Provide DIY home repair guidance.",,,,,"home;diy"
"a21","LanguageExamPrep","Prepare for language proficiency exams.",,,,,"education;language"
"a22","NutritionCoach","Design balanced meal plans.",,,,,"health;nutrition"
"a23","LegalInfoBot","Explain basic legal concepts (not legal advice).",,,,,"legal;info"
"a24","RealEstateFinder","Help find and evaluate properties.",,,,,"realestate;housing"
"a25","StudyFlashcards","Create flashcards from text.",,,,,"education;tools"
"a26","GardeningPlanner","Schedule garden maintenance and planting.",,,,,"gardening;planning"
"a27","BudgetPlanner","Create monthly budgets and savings plans.",,,,,"finance;planning"
"a28","ResumeBuilder","Generate and format resumes.",,,,,"career;documents"
"a29","InterviewPrep","Practice interview questions and feedback.",,,,,"career;interview"
"a30","StudyGroupFacilitator","Coordinate group study sessions.",,,,,"education;collaboration"
"a31","PetCareBot","Advice on pet health and care.",,,,,"pets;health"
"a32","GiftSuggester","Recommend gifts based on recipient and occasion.",,,,,"shopping;gifts"
"a33","LocalGuide","Suggest local activities and attractions.",,,,,"travel;local"
"a34","LanguageExchange","Match language exchange partners.",,,,,"education;language"
"a35","BookClubCoordinator","Organize book club meetings and discussions.",,,,,"community;books"
"a36","SleepCoach","Recommend sleep hygiene and routines.",,,,,"health;sleep"
"a37","PlantIdentifier","Identify plants from descriptions.",,,,,"gardening;identification"
"a38","RecipeScaler","Scale recipe quantities for servings.",,,,,"food;tools"
"a39","WineAdvisor","Suggest wine pairings.",,,,,"food;wine"
"a40","StudyScheduler","Create study schedules with milestones.",,,,,"education;productivity"
"a41","TaxHelper","Explain common tax concepts and deductions.",,,,,"finance;tax"
"a42","InvestorAid","Summarize investment options and risks.",,,,,"finance;investing"
"a43","PublicSpeakingCoach","Give tips for presentations and speeches.",,,,,"career;publicspeaking"
"a44","PhotographyTips","Provide photography composition and lighting tips.",,,,,"creative;photography"
"a45","MusicTeacher","Teach music theory basics and practice plans.",,,,,"education;music"
"a46","LanguageGrammar","Explain grammar rules and exercises.",,,,,"education;language"
"a47","CarMaintenanceBot","Guide routine car maintenance tasks.",,,,,"auto;maintenance"
"a48","CoffeeAdvisor","Recommend coffee beans and brewing methods.",,,,,"food;coffee"
"a49","FashionStylist","Suggest outfits and style tips.",,,,,"fashion;style"
"a50","MeditationGuide","Lead mindfulness and meditation practices.",,,,,"health;mindfulness"
"a51","CryptoExplainer","Explain cryptocurrency basics and terminology.",,,,,"finance;crypto"
"a52","StudyNotesOrganizer","Convert notes into organized summaries.",,,,,"education;notes"
"a53","LanguageVocabulary","Create vocabulary lists and quizzes.",,,,,"education;language"
"a54","HomeOfficeSetup","Advise on ergonomic home office setups.",,,,,"home;work"
"a55","MovingPlanner","Plan and checklist for moving homes.",,,,,"home;moving"
"a56","MealPrepPlanner","Plan weekly meal prep and shopping lists.",,,,,"food;planning"
"a57","ChildActivityIdeas","Suggest activities for children by age.",,,,,"family;kids"
"a58","StretchRoutine","Create daily stretching routines.",,,,,"fitness;mobility"
"a59","LanguagePronunciation","Practice pronunciation with tips.",,,,,"education;language"
"a60","InvoiceAssistant","Generate simple invoice templates.",,,,,"business;finance"
"a61","HomeEnergySaver","Tips to reduce home energy use.",,,,,"home;sustainability"
"a62","SEOAdvisor","Suggest SEO improvements for content.",,,,,"marketing;seo"
"a63","SocialPostWriter","Draft social media posts by audience.",,,,,"marketing;social"
"a64","ResumeReviewer","Provide feedback on resume wording.",,,,,"career;review"
"a65","EmailAssistant","Draft and polish professional emails.",,,,,"productivity;communication"
"a66","ConferenceScheduler","Plan conference agendas and sessions.",,,,,"events;conference"
"a67","PodcastPlanner","Outline podcast episodes and formats.",,,,,"media;podcast"
"a68","VoiceCoach","Exercises to improve speaking voice.",,,,,"career;voice"
"a69","HomeBudgetTracker","Track household expenses and budgets.",,,,,"finance;home"
"a70","DessertChef","Create dessert recipes and plating ideas.",,,,,"food;dessert"
"a71","LanguageChildren","Teach basic language to children.",,,,,"education;kids"
"a72","CodingInterviewCoach","Practice coding interview problems.",,,,,"career;coding"
"a73","UXAdvisor","Provide user experience design suggestions.",,,,,"design;ux"
"a74","StartupAdvisor","Give startup strategy and pitch tips.",,,,,"business;startup"
"a75","InvestorPitchPrep","Help prepare investor pitch decks.",,,,,"business;fundraising"
"a76","LocalEventsFinder","Find nearby events and meetups.",,,,,"local;events"
"a77","PhilosophyDiscussant","Summarize philosophical ideas and prompts.",,,,,"education;philosophy"
"a78","LanguageReading","Recommend graded reading materials.",,,,,"education;language"
"a79","HandymanTips","Quick fixes and tool recommendations.",,,,,"home;repair"
"a80","CareerPathPlanner","Map career development steps.",,,,,"career;planning"
"a81","CollegeAdvisor","Guide college selection and applications.",,,,,"education;college"
"a82","ScholarshipFinder","Search scholarship types and tips.",,,,,"education;finance"
"a83","TaxFilingChecklist","Checklist for personal tax filing.",,,,,"finance;tax"
"a84","LanguageIdioms","Teach idioms and usage with examples.",,,,,"education;language"
"a85","FreelanceManager","Help set freelance rates and proposals.",,,,,"career;freelance"
"a86","HomeCleaningSchedule","Create cleaning schedules and tips.",,,,,"home;cleaning"
"a87","OutdoorAdventure","Suggest hiking and outdoor trip ideas.",,,,,"travel;outdoors"
"a88","BoardGameGuide","Explain board game rules and variants.",,,,,"entertainment;games"
"a89","PlantDiseaseAid","Identify common plant diseases and remedies.",,,,,"gardening;health"
"a90","StartupHR","Create hiring checklists and interview templates.",,,,,"business;hr"
"a91","LanguageBusiness","Business language phrase practice.",,,,,"education;business"
"a92","WeddingPlanner","Plan wedding timelines and vendors.",,,,,"events;wedding"
"a93","AccessibilityAdvisor","Advise accessible content and design.",,,,,"design;accessibility"
"a94","LanguageSlang","Explain slang and informal expressions.",,,,,"education;language"
"a95","BikeMaintenance","Guide bicycle repair and upkeep.",,,,,"transport;bike"
"a96","InteriorDesigner","Suggest interior color schemes and layouts.",,,,,"design;home"
"a97","VolunteerCoordinator","Organize volunteer tasks and schedules.",,,,,"community;volunteer"
"a98","LanguageTOEFLCoach","Practice TOEFL-specific language skills.",,,,,"education;language"
"a99","GiftWrapIdeas","Creative gift-wrapping techniques and materials.",,,,,"crafts;gifts"
"a100","CityTransitGuide","Explain local transit options and routes.",,,,,"local;transport"
